,AGS_0,Fläche_Name_1,y_forderungen
296,09672,Landkreis Bad Kissingen,15.658485478618825
297,09673,Landkreis Rhön-Grabfeld,11.118712820777638
298,09674,Landkreis Haßberge,11.864584944698239
299,09675,Landkreis Kitzingen,10.314708156380807
300,09676,Landkreis Miltenberg,7.039254849915315
301,09677,Landkreis Main-Spessart,11.584470356996277
302,09678,Landkreis Schweinfurt,10.963425555882486
303,09679,Landkreis Würzburg,11.61145048702657
304,09761,Kreisfreie Stadt Augsburg,7.126781753122853
305,09762,Kreisfreie Stadt Kaufbeuren,1.7986870648123798
306,09763,Kreisfreie Stadt Kempten (Allgäu),4.505644762844963
307,09764,Kreisfreie Stadt Memmingen,7.15853550435002
308,09771,Landkreis Aichach-Friedberg,11.61145048702657
309,09772,Landkreis Augsburg,10.94732393434043
310,09773,Landkreis Dillingen a.d. Donau,10.886052167434148
311,09774,Landkreis Günzburg,16.30376944522777
312,09775,Landkreis Neu-Ulm,9.642871560808251
313,09776,Landkreis Lindau (Bodensee),10.33980477179409
314,09777,Landkreis Ostallgäu,11.287181001587513
315,09778,Landkreis Unterallgäu,11.474535674184976
316,09779,Landkreis Donau-Ries,10.266225509580728
317,09780,Landkreis Oberallgäu,9.853379166459177
318,10041,Landkreis Regionalverband Saarbrücken,11.089585611208228
319,10042,Landkreis Merzig-Wadern,15.465705790612576
320,10043,Landkreis Neunkirchen,10.57036890932694
321,10044,Landkreis Saarlouis,10.367546467151126
322,10045,Landkreis Saarpfalz-Kreis,5.50939566018835
323,10046,Landkreis St. Wendel,9.837305879897691
324,11000,Kreisfreie Stadt Berlin,2.518509839184929
325,12051,Kreisfreie Stadt Brandenburg an der Havel,7.915304963372478
326,12052,Kreisfreie Stadt Cottbus,11.395022545507915
327,12053,Kreisfreie Stadt Frankfurt (Oder),1.4592675620660969
328,12054,Kreisfreie Stadt Potsdam,5.928428370504454
329,12060,Landkreis Barnim,5.029059317028552
330,12061,Landkreis Dahme-Spreewald,6.364017095915667
331,12062,Landkreis Elbe-Elster,10.791499321127779
332,12063,Landkreis Havelland,8.151954435562157
333,12064,Landkreis Märkisch-Oderland,10.038551397204355
334,12065,Landkreis Oberhavel,7.909681616490312
335,12066,Landkreis Oberspreewald-Lausitz,7.873598594511423
336,12067,Landkreis Oder-Spree,6.900206248808178
337,12068,Landkreis Ostprignitz-Ruppin,6.886024724193759
338,12069,Landkreis Potsdam-Mittelmark,7.95628680393864
339,12070,Landkreis Prignitz,6.083651877995535
340,12071,Landkreis Spree-Neiße,15.856823010266867
341,12072,Landkreis Teltow-Fläming,11.917859487702447
342,12073,Landkreis Uckermark,11.903812258658341
343,13003,Kreisfreie Stadt Rostock,3.4412503188635237
344,13004,Kreisfreie Stadt Schwerin,2.185380757106703
345,13071,Landkreis Mecklenburgische Seenplatte,20.625611539275432
346,13072,Landkreis Rostock,9.607445359815603
347,13073,Landkreis Vorpommern-Rügen,6.355647440498601
348,13074,Landkreis Nordwestmecklenburg,11.417887541818175
349,13075,Landkreis Vorpommern-Greifswald,14.787176660488363
350,13076,Landkreis Ludwigslust-Parchim,17.568642107504047
351,14511,Kreisfreie Stadt Chemnitz,2.1102887379151567
352,14521,Landkreis Erzgebirgskreis,11.770364019111495
